17,src/plugins/cpptools/cppcompletionassist.cpp,inserted,5,qt-creator/qt-creator
17,src/plugins/cpptools/cppcompletionassist.cpp,deleted,2,qt-creator/qt-creator
18,src/plugins/qt4projectmanager/qt4buildconfiguration.cpp,inserted,1,qt-creator/qt-creator
18,src/plugins/qt4projectmanager/qt4buildconfiguration.cpp,deleted,1,qt-creator/qt-creator
19,src/plugins/qt4projectmanager/qt-maemo/maemoglobal.h,inserted,24,qt-creator/qt-creator
19,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.cpp,inserted,12,qt-creator/qt-creator
19,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.cpp,deleted,17,qt-creator/qt-creator
19,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.h,inserted,6,qt-creator/qt-creator
19,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.h,deleted,1,qt-creator/qt-creator
20,src/plugins/git/gitclient.cpp,inserted,1,qt-creator/qt-creator
20,src/plugins/git/gitclient.cpp,deleted,1,qt-creator/qt-creator
20,src/plugins/vcsbase/vcsbaseclient.cpp,inserted,1,qt-creator/qt-creator
20,src/plugins/vcsbase/vcsbaseclient.cpp,deleted,1,qt-creator/qt-creator
21,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,inserted,6,qt-creator/qt-creator
21,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,deleted,4,qt-creator/qt-creator
21,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,inserted,6,qt-creator/qt-creator
21,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,deleted,4,qt-creator/qt-creator
22,src/plugins/help/helpplugin.cpp,inserted,1,qt-creator/qt-creator
22,src/plugins/help/helpplugin.cpp,deleted,1,qt-creator/qt-creator
22,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,inserted,6,qt-creator/qt-creator
22,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,deleted,2,qt-creator/qt-creator
22,src/plugins/help/helpplugin.cpp,inserted,1,qt-creator/qt-creator
22,src/plugins/help/helpplugin.cpp,deleted,1,qt-creator/qt-creator
22,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,inserted,6,qt-creator/qt-creator
22,src/plugins/qt4projectmanager/gettingstartedwelcomepagewidget.cpp,deleted,1,qt-creator/qt-creator
23,src/plugins/projectexplorer/msvcparser.cpp,inserted,67,qt-creator/qt-creator
23,src/plugins/projectexplorer/msvcparser.cpp,deleted,19,qt-creator/qt-creator
24,src/plugins/qt4projectmanager/qt-maemo/maemoglobal.h,inserted,27,qt-creator/qt-creator
24,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.cpp,inserted,12,qt-creator/qt-creator
24,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.cpp,deleted,17,qt-creator/qt-creator
24,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.h,inserted,6,qt-creator/qt-creator
24,src/plugins/qt4projectmanager/qt-maemo/qt4maemotarget.h,deleted,1,qt-creator/qt-creator
25,src/plugins/cpptools/cppcompletionassist.cpp,inserted,13,qt-creator/qt-creator
25,src/plugins/cpptools/cppcompletionassist.cpp,deleted,17,qt-creator/qt-creator
26,src/plugins/qt4projectmanager/qt-maemo/maemoconfigtestdialog.cpp,inserted,1,qt-creator/qt-creator
26,src/plugins/qt4projectmanager/qt-maemo/maemoconfigtestdialog.cpp,deleted,4,qt-creator/qt-creator
27,src/plugins/cpptools/cppcompletionassist.cpp,inserted,44,qt-creator/qt-creator
27,src/plugins/cpptools/cppcompletionassist.cpp,deleted,24,qt-creator/qt-creator
