Id,Status,Claster,AverageCorrectness,TotalDays,NumOfUpdated,NumOfVotes
9510,merged,NotConsensus,0.651978,17.4733680556,5,5
9513,merged,AllCorrect,0.602888,9.39907407407,12,7
9514,merged,AllInCorrect,0.814961,4.21728009259,4,1
9515,merged,NotConsensus,0.596367,14.0088657407,3,2
9519,merged,AllCorrect,0.453812,0.176412037037,1,1
9521,merged,AllCorrect,0.882353,0.382951388889,1,1
9522,merged,AllCorrect,0.527151,0.428229166667,2,4
9523,abandoned,AllCorrect,0.791813,0.171493055556,1,1
9525,abandoned,NotConsensus,0.627023,7.55873842593,2,3
9526,merged,AllCorrect,0.453977,0.9934375,3,1
9528,abandoned,NotConsensus,0.752167,0.944733796296,1,4
9532,merged,NotConsensus,0.718227,4.18486111111,2,5
9534,merged,NotConsensus,0.543895,17.8049768519,8,6
9536,merged,AllCorrect,0.778571,0.193043981481,1,1
9537,abandoned,AllCorrect,0.779465,25.1366550926,1,1
9538,merged,AllCorrect,0.586134,2.1659837963,8,2
9540,merged,NotConsensus,0.682302,12.8507060185,8,12
9542,merged,AllCorrect,0.671642,8.95626157407,2,1
9543,merged,AllCorrect,0.676471,23.2396180556,2,1
9544,merged,NotConsensus,0.608246,4.06212962963,5,5
9545,merged,NotConsensus,0.663039,0.942800925926,2,1
9547,merged,NotConsensus,0.669952,3.00991898148,2,6
9550,merged,NotConsensus,0.662723,3.04472222222,3,3
9551,merged,AllCorrect,0.451101,3.71265046296,2,1
9552,merged,NotConsensus,0.743085,10.8263194444,3,5
9553,merged,NotConsensus,0.662825,15.6936342593,4,4
9554,merged,NotConsensus,0.729152,16.6928587963,5,6
9555,merged,NotConsensus,0.660229,21.3031481481,5,3
9556,merged,NotConsensus,0.732172,23.8818634259,6,5
9557,merged,AllCorrect,0.448126,23.8825347222,6,2
9558,merged,AllCorrect,0.447346,0.17375,1,1
9562,merged,AllInCorrect,0.882353,0.81443287037,1,1
9564,merged,NotConsensus,0.661886,3.96662037037,4,7
9565,merged,AllCorrect,0.779359,0.00184027777778,1,1
9566,merged,NotConsensus,0.649272,3.77548611111,2,2
9568,merged,AllCorrect,0.727414,3.99469907407,2,4
9569,abandoned,AllCorrect,0.653846,8.76241898148,1,1
9570,merged,AllInCorrect,0.650000,0.808344907407,4,1
